Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
ALBANIA,80,77,94,77,80,79,76,69,77,77,,,88,92,81,68,58,50,60,55,70,70,72,75,66,,71,67,,,66
ARGENTINA,59,42,46,50,53,39,26,57,52,56,67,54,49,39,35,39,47,30,46,39,28,31,22,25,45,29,37,29,29,20,42
ARMENIA,32,26,37,37,49,32,41,30,26,39,40,47,67,61,64,66,48,36,33,36,43,67,53,20,39,26,34,34,32,32,28
AUSTRALIA,23,29,18,8,18,11,34,25,6,11,15,27,25,15,23,19,22,26,25,27,26,26,25,16,15,13,9,23,21,12,13
AUSTRIA,49,56,64,65,60,57,70,46,60,51,48,50,36,47,59,57,42,42,40,59,59,56,55,39,29,48,43,42,43,31,22
AZERBAIJAN,54,34,51,65,51,69,42,54,48,61,52,61,67,28,36,48,52,48,49,47,40,65,73,64,66,54,55,58,64,,52
BELGIUM,63,63,43,50,68,47,62,52,56,59,44,38,43,60,38,59,45,52,40,42,37,52,68,53,54,39,41,31,47,34,37
BANGLADESH,46,57,43,38,67,41,26,35,33,53,61,54,72,69,58,75,80,80,85,,,,,,,,,,,,
BULGARIA,25,16,18,38,19,21,18,18,29,37,38,19,20,21,19,14,9,21,11,5,1,4,4,5,5,2,7,11,6,4,3
BOSNIA AND HERZEGOVINA,36,36,40,56,60,43,44,45,43,51,63,45,62,49,61,50,52,41,55,70,43,62,51,29,43,33,62,57,69,61,71
BELARUS,17,31,24,45,35,45,14,35,39,34,22,24,31,27,10,26,19,23,18,13,19,14,12,7,6,19,17,21,26,23,38
BOLIVIA,79,79,77,93,100,81,94,,101,94,94,96,91,93,97,95,93,86,91,,,,,,,,74,,,,
BRAZIL,16,19,35,10,29,28,37,15,22,34,28,19,20,35,17,16,24,29,33,21,26,21,16,48,29,30,26,52,44,39,34
CANADA,5,14,5,12,24,16,29,12,9,9,11,5,17,13,18,22,27,15,19,21,12,12,24,17,31,20,29,16,19,24,18
CHILE,96,89,84,95,90,91,76,91,97,81,73,63,74,,70,69,92,,,,,,,,,,66,71,70,54,
CHINA,1,1,1,1,1,3,2,3,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,,1,6,1,2,1
COLOMBIA,72,75,61,35,66,66,60,66,49,54,48,46,52,65,39,45,30,50,27,29,39,37,42,44,49,41,27,46,38,26,26
COSTA RICA,76,66,84,88,83,63,81,59,67,63,62,47,69,79,72,55,72,78,65,,,,,,,,,,,,
CUBA,104,100,,,89,,102,,94,92,91,95,,85,85,81,87,,52,78,76,39,26,44,27,67,40,66,55,68,36
CYPRUS,52,67,77,80,75,75,48,63,63,72,64,76,71,62,69,71,69,81,77,63,70,68,34,64,64,56,80,69,58,58,
CZECH REPUBLIC,45,52,16,23,46,39,14,37,45,32,37,47,39,48,40,39,40,48,16,34,34,28,45,42,49,15,18,28,17,21,10
DENMARK,58,53,67,53,48,58,65,81,69,67,77,61,50,45,57,54,65,69,44,68,66,55,68,61,54,66,57,48,49,57,32
ECUADOR,90,89,73,64,87,71,78,83,80,89,69,71,83,76,78,82,74,70,74,81,77,82,83,74,,,,,,,
SPAIN,35,42,63,31,42,54,55,49,72,48,59,60,48,46,55,43,66,44,58,55,46,60,58,68,46,58,64,48,51,62,45
ESTONIA,47,50,50,57,36,51,71,61,70,74,55,68,50,63,71,73,57,44,45,44,54,40,37,58,69,43,53,55,56,44,56
FINLAND,64,62,69,60,65,59,84,71,82,70,67,65,57,72,67,74,61,39,55,63,55,38,63,52,43,63,34,39,36,48,52
FRANCE,28,32,27,14,25,33,39,25,14,45,21,38,34,30,31,30,43,28,32,38,24,19,28,48,33,26,32,36,30,19,17
GEORGIA,38,53,41,18,45,27,12,59,42,47,51,59,57,34,25,42,26,33,37,28,32,34,38,36,38,36,28,30,48,39,26
GERMANY,20,7,12,26,32,31,33,19,27,16,27,31,11,9,9,20,15,4,12,25,17,10,14,20,17,16,13,10,15,11,2
GREECE,26,26,64,55,40,54,12,50,51,41,38,26,40,37,41,39,33,56,50,26,30,47,30,56,47,32,45,22,54,42,
HONG KONG,24,19,21,28,37,49,26,9,28,18,31,27,14,20,29,28,12,14,17,30,28,24,19,28,33,25,30,27,20,18,33
HONDURAS,98,88,92,88,105,104,104,100,,,97,92,97,,81,89,,,,,,,,,,,,,,,
CROATIA,52,34,21,32,42,22,35,30,15,29,30,25,36,32,32,38,46,54,33,40,33,45,35,34,41,22,24,34,32,43,55
HUNGARY,22,32,32,13,11,15,22,14,20,15,22,38,25,13,19,10,16,17,9,7,10,12,21,9,11,3,2,3,5,5,8
INDONESIA,39,38,33,32,14,10,31,20,29,29,19,35,29,30,43,36,52,,42,54,37,64,59,51,64,68,63,70,53,60,70
INDIA,9,24,26,,15,28,52,34,37,39,29,11,23,36,28,31,25,35,36,14,15,9,7,14,18,7,15,14,14,16,15
IRELAND,77,69,93,70,71,76,62,75,77,64,76,78,87,89,89,70,63,67,51,66,74,70,63,69,62,58,68,61,61,49,50
IRAN,11,8,29,18,23,19,5,24,7,21,10,8,10,16,15,5,12,8,4,9,17,11,18,10,8,1,3,9,8,8,6
ICELAND,78,83,94,92,80,67,89,90,75,76,78,88,74,71,78,76,73,59,71,72,62,66,74,60,60,52,60,56,68,65,64
ISRAEL,14,10,7,21,15,26,32,22,40,18,13,31,23,53,46,27,50,25,30,15,21,18,17,11,25,24,22,15,13,24,18
ITALY,17,10,7,6,27,17,18,15,29,26,20,38,19,11,11,24,21,12,24,49,49,33,46,50,23,38,48,25,26,36,23
JAPAN,6,8,25,18,13,13,6,10,22,5,11,17,12,7,2,11,6,7,8,8,9,16,13,15,13,14,12,11,9,10,20
KAZAKHSTAN,21,17,20,21,22,18,25,28,25,23,33,34,38,5,27,25,28,30,26,21,12,16,6,24,35,35,46,64,57,,25
KYRGYZSTAN,71,76,73,76,91,77,67,84,92,85,71,68,92,63,73,79,67,77,58,52,49,75,79,76,76,69,75,67,65,67,60
SOUTH KOREA,3,2,3,4,3,7,1,2,3,7,2,1,13,4,4,4,3,3,5,12,6,6,4,4,7,12,11,8,7,13,15
LIECHTENSTEIN,98,102,,,,,95,107,90,87,87,97,99,,85,90,88,89,84,,,,,,,,,,,,
SRI LANKA,70,73,81,61,69,72,62,66,70,54,56,82,73,51,50,78,83,55,67,74,81,77,71,72,81,74,,53,71,,
LITUANIA,64,48,76,54,52,52,74,50,65,42,46,58,45,39,49,35,31,33,53,51,52,42,56,62,51,55,51,32,50,47,49
LUXEMBOURG,101,93,98,103,100,93,89,95,97,79,79,77,74,81,60,61,74,82,85,71,69,79,80,53,71,65,,,,64,65
LATVIA,55,63,48,67,72,78,57,74,79,66,66,66,57,57,62,63,60,52,47,52,49,40,38,46,22,37,22,33,39,38,31
MACAU,48,49,54,63,55,65,46,39,35,62,,75,53,,67,63,48,59,63,42,58,56,63,76,60,64,56,48,62,46,61
MOROCCO,68,70,75,90,64,73,67,79,80,78,85,70,62,67,74,63,81,65,72,41,55,63,52,55,57,52,60,65,24,34,40
MALAYSIA,44,44,41,32,70,48,37,56,57,23,31,35,41,54,75,55,74,70,75,73,67,69,59,64,63,62,69,72,72,,
MOLDOVA,55,47,51,52,50,50,58,63,38,48,54,30,46,39,50,48,20,9,21,17,30,48,40,26,56,50,57,41,36,54,59
MEXICO,14,23,34,45,41,36,43,23,19,26,17,31,22,33,50,37,37,24,31,37,41,46,46,32,52,44,32,53,58,65,61
NORTH MACEDONIA,41,39,45,72,75,82,65,73,74,67,74,63,79,58,36,59,55,62,54,48,47,43,43,43,36,40,46,48,31,50,48
MONTENEGRO,96,95,79,73,86,89,93,88,89,88,95,97,94,94,83,84,86,,,,,,,,,,,,,,
MONGOLIA,30,29,11,29,26,28,48,33,45,44,42,43,54,50,54,29,34,44,,19,25,35,31,40,25,30,30,44,42,51,61
NETHERLANDS,29,40,47,29,37,36,18,44,43,13,25,22,28,38,47,33,56,62,47,61,64,54,54,46,31,44,37,59,45,37,35
NORWAY,62,61,51,58,34,56,72,84,65,69,71,79,61,75,63,58,43,66,63,59,42,44,50,57,39,61,44,37,52,45,44
NEW ZEALAND,64,58,69,47,58,45,46,53,49,60,48,53,29,29,66,71,50,58,38,58,55,35,44,62,52,49,48,37,46,29,45
PAKISTAN,81,82,103,82,83,80,81,91,85,75,79,73,81,88,85,,78,76,80,,,,,,,,,,,,
PANAMA,89,84,72,84,80,86,99,,99,93,83,90,98,79,96,,,75,,,,,,,,,,,,,
PARAGUAY,82,78,87,75,92,95,88,71,67,71,70,81,79,85,91,84,78,68,79,82,82,80,82,,,72,76,,,,
PERU,32,19,30,36,28,35,30,25,16,29,26,16,31,18,24,17,32,40,29,63,60,51,41,64,78,46,53,,,,
PHILLIPNES,26,55,23,43,31,38,17,17,36,45,53,73,54,74,78,86,84,,68,79,79,74,75,70,73,70,73,74,65,53,52
POLAND,32,12,13,6,10,9,22,42,17,26,45,18,15,24,25,13,18,11,27,16,22,21,19,32,19,21,20,13,16,13,28
PORTUGAL,74,44,54,44,54,52,54,47,52,33,36,37,46,54,33,67,62,47,69,77,73,78,78,72,70,72,71,63,67,54,51
PUERTO RICO,93,86,79,78,105,73,85,87,90,91,88,80,83,78,83,93,90,84,82,69,70,75,,81,,,76,,,,
SOUTH AFRICA,51,63,60,61,46,62,60,58,55,64,58,56,41,58,43,44,68,62,62,33,45,32,36,27,27,28,39,43,41,27,57
SAUDI ARABIA,36,22,38,59,33,60,39,41,41,43,42,29,70,67,,94,91,88,85,85,,,,,,,,,,,
SINGAPORE,12,24,15,16,8,8,7,4,10,8,6,7,3,22,30,32,36,27,14,18,36,30,29,37,36,22,41,25,26,29,30
EL SALVADOR,85,80,71,68,78,89,83,68,95,,88,85,95,87,94,76,74,78,70,,,,,,,,,,,,
SERBIA,42,37,31,25,9,13,18,40,29,23,34,15,25,10,22,20,23,38,,,,,,,,,,,,,
SWITZERLAND,43,40,48,49,58,68,58,43,45,38,40,52,43,39,47,50,58,30,42,55,67,60,57,40,24,57,57,62,39,63,42
SLOVAKIA,39,46,39,40,39,23,67,55,33,34,34,44,34,39,53,46,37,18,20,31,35,25,48,18,21,33,36,17,21,22,12
SLOVENIA,64,72,64,40,44,42,52,63,73,58,74,56,62,51,65,50,39,36,55,49,75,58,67,34,58,51,50,44,60,59,45
SWEDEN,59,60,57,40,55,24,51,37,60,57,60,71,54,72,56,53,41,43,61,46,48,48,68,31,41,47,19,40,35,41,39
SYRIA,61,70,68,47,55,60,56,48,54,72,88,89,92,83,99,,,,,,,,,,,,,,,,
THAILAND,19,6,16,5,5,5,7,12,12,21,13,5,5,5,7,6,14,15,23,35,19,21,22,29,47,42,52,47,34,33,41
TAJIKISTAN,73,59,59,74,62,43,44,62,64,50,56,42,57,56,45,61,71,72,85,,,,,,,,,,,,
TURKMENISTAN,68,,58,85,73,63,48,69,58,,46,51,62,44,34,46,63,61,72,62,60,59,66,,77,,,72,,,72
TRINIDAD AND TOBAGO,,,97,99,83,83,99,94,82,82,86,86,85,77,76,79,70,73,78,76,62,72,59,59,68,58,65,60,63,52,57
TUNISIA,75,67,56,71,74,70,79,76,75,80,65,87,77,81,77,88,,,81,75,,72,59,,74,,,,,,
TURKEY,8,26,35,26,29,24,35,29,20,17,17,12,6,8,8,8,17,19,21,32,8,14,11,18,16,17,25,19,25,28,24
TAIWAN,10,14,9,23,21,6,9,5,18,3,8,14,8,19,11,9,9,10,7,6,16,7,9,8,9,5,14,20,12,13,5
UKRAINE,31,17,6,11,11,4,14,30,11,6,16,19,15,22,14,15,6,22,9,11,14,20,8,13,12,8,6,18,23,17,21
UNITED KINGDOM,13,13,9,9,20,12,9,7,22,20,9,22,17,25,19,23,28,19,13,20,10,27,31,22,20,17,16,5,10,7,14
URUGUAY,83,89,88,80,88,103,92,93,93,84,93,82,85,,85,87,,82,65,67,65,84,77,70,72,70,69,,,,
USA,2,3,4,3,1,1,4,1,1,2,3,3,2,3,6,3,5,5,2,2,3,3,2,3,10,3,4,2,11,1,7
UZBEKISTAN,49,50,61,69,63,86,74,77,58,,,,66,26,42,33,34,57,,45,52,48,27,38,59,,67,,,,
VENEZUELA,104,104,83,83,105,106,79,86,96,86,92,90,90,90,94,90,88,73,75,80,78,52,49,79,80,75,81,,,,
VIETNAM,7,4,14,17,7,20,3,11,5,10,7,9,31,11,15,12,3,13,15,4,4,5,10,5,3,9,10,7,4,6,9
